HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION,NUM
天气 预报,TIĀNQÌ YÙBÀO,pronóstico del tiempo,NOM,,,23sup,1
中国 民航,ZHŌNGGUÓ MÍNHÁNG,aviación civil china,NP,,,23sup,2
起飞,QǏFĒI,despegar,VER,,,23sup,3
停车场,TÍNGCHĒCHǍNG,estacionamiento,NOM,,,23sup,4
菜单,CÀIDĀN,menú,NOM,,,23sup,5
渴,KĚ,sediento,ADJ,sed,NOM,23sup,6
饿,È,hambriento,ADJ,hambre,NOM,23sup,7
熊,XIÓNG,oso,NOM,,,23sup,8
熊猫,XIÓNGMĀO,oso panda,NOM,,,23sup,9
害怕,HÀIPÀ,temer,VER,miedo,NOM,23sup,10
棵,KĒ,clas. para árboles,CLA,,,23sup,11
树,SHÙ,árbol,NOM,,,23sup,12
死,SǏ,morir,VER,,,23sup,13
装,ZHUĀNG,"fingir, aparentar, simular",VER,,,23sup,14
动,DÒNG,mover(se),VER,movimiento,NOM,23sup,15
危险,WĒIXIǍN,peligroso,ADJ,,,23sup,16
