HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION,NUM
你,NǏ,tú,PRO,,,1,1
好,HǍO,"bien, bueno, vale",ADJ,,,1,2
吗,MA,partícula interrogativa para preguntas que esperan la respuesta sí/no,PI,,,1,3
我,WǑ,"yo, mi, me",PRO,,,1,4
很,HĚN,muy,ADV,,,1,5
呢,NE,partícula modal para preguntas elípticas,PT,,,1,6
也,YĚ,"también, además",ADV,,,1,7
忙,MÁNG,ocupado,ADJ,,,2,1
爸爸,BÀBA,padre,NOM,,,2,2
妈妈,MĀMA,madre,NOM,,,2,3
他,TĀ,"él, a él",PRO,,,2,4
们,MEN,"usado tras los pronombres 我, 你, 他 o ciertos nombres para denotar plural",PRO,,,2,5
都,DŌU,"ambos, todos",ADV,,,2,6
不,BÙ,no,ADV,,,2,7
男,NÁN,masculino,ADJ,,,2,8
朋友,PÉNGYOU,amigo,NOM,,,2,9
哥哥,GĒGE,hermano mayor,NOM,,,2,10
要,YÀO,querer,VER,,,2,11
咖啡,KĀFĒI,café,NOM,,,2,12
弟弟,DÌDI,hermano menor,NOM,,,2,13
喝,HĒ,beber,VER,,,2,14
她,TĀ,"ella, su",PRO,,,3,1
是,SHÌ,"ser, estar",VER,,,3,2
哪,NǍ,"cuál, de qué",PI,,,3,3
国,GUÓ,"país, nación",NOM,,,3,4
人,RÉN,"persona, gente",NOM,,,3,5
那,NÀ,"ese/esa, aquel/aquella",PRO,,,3,6
谁,SHÉI,quién,PI,,,3,7
老师,LǍOSHĪ,profesor/a,NOM,,,3,8
中国,ZHŌNGGUÓ,China,NP,,,3,9
您,NÍN,usted,PRO,,,3,10
这,ZHÈ,"éste, ésta, esto",PRO,,,3,11
外语,WÀIYǓ,lengua extranjera,NOM,,,3,12
医生,YĪSHĒNG,médico,NOM,,,3,13
奶奶,NǍINAI,abuela paterna,NOM,,,3,14
外婆,WÀIPÓ,abuela materna,NOM,,,3,15
认识,RÈNSHI,conocer (a alguien),VER,,,4,1
高兴,GĀOXÌNG,"contento, encantado, feliz",ADJ,,,4,2
高,GĀO,alto,ADJ,,,4,3
可以,KĚYǏ,poder,VAUX,,,4,4
进来,JÌNLÁI,"entrar, venir",V+C,,,4,5
请问,QǏNGWÈN,¿Podría preguntarle...?,VER,,,4,6
请,QǏNG,"por favor, solicitar, pedir",VER,,,4,7
问,WÈN,preguntar,VER,,,4,8
记者,JÌZHĚ,periodista,NOM,,,4,9
贵姓,GUÌXÌNG,¿Cómo se llama? (se apellida),FH,,,4,10
姓,XÌNG,apellido,NOM,apellidar,VER,4,11
叫,JIÀO,llamar(se),VER,,,4,12
先生,XIĀNSHENG,señor,NOM,,,4,13
语言,YǓYÁN,"lengua, idioma",NOM,,,4,14
学院,XUÉYUÀN,"instituto, universidad, escuela",NOM,,,4,15
学,XUÉ,estudio,NOM,"estudiar, aprender",VER,4,16
的,DE,"partícula que indica la posesión, o que está entre un sustantivo y su modificador",PT,,,4,17
学生,XUÉSHENG,estudiante,NOM,,,4,18
什么,SHÉNME,qué,PI,,,4,19
学习,XUÉXÍ,"estudiar, aprender",VER,,,4,20
汉语,HÀNYǓ,chino (idioma),NOM,,,4,21
英国,YĪNGGUÓ,"Inglaterra, Gran Bretaña",NP,,,4,22
加拿大,JIĀNÁDÀ,Canadá,NP,,,4,23
西班牙,XĪBĀNYÁ,España,NP,,,4,24
美国,MĚIGUÓ,Estados Unidos,NP,,,4,25
法国,FǍGUÓ,Francia,NP,,,4,26
德国,DÉGUÓ,Alemania,NP,,,4,27
日本,RÌBĚN,Japón,NP,,,4,28
