HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION,NUM
,ZǍO,temprano,ADJ,mañana,NOM,15,1
,YÍNHÁNG,banco,NOM,,,15,2
,SHǍO,poco,ADJ,,,15,3
,PÁIDUÌ,hacer cola,V+O,,,15,4
,PÁI,ordenar,VER,fila,NOM,15,5
,DUÌ,fila de personas,NOM,,,15,6
,HUÀN,cambiar,VER,cambio,NOM,15,7
,YĪNGBÀNG,libras esterlinas,NOM,,,15,8
,RÉNMÍNBÌ,RMB,NOM,,,15,9
,RÉNMÍN,pueblo,NOM,,,15,10
,DĚI,"tener que, deber de, necesidad",VAUX,,,15,11
,YÒNG,utilizar,VER,,,15,12
,GĀNG,recién,ADV,,,15,13
,CÓNG,desde,PRE,,,15,14
,DÀO,hasta,PRE,,,15,15
,FĒICHÁNG,extremadamente,ADV,,,15,16
,CÌ,clasificador de acciones,CLA,,,15,17
,CĀNGUĀN,visitar,VER,,,15,18
,BĪNGMǍYǑNG,guerreros de terracota,NOM,,,15,19
,BĪNG,"soldado, luchador",NOM,,,15,20
,MÍNGXÌNPIÀN,postal,NOM,,,15,21
,XÌN,carta,NOM,,,15,22
,GĀI,tocarle hacer una cosa,VER,,,15,23
,GŌNGZUÒRÉNYUÁN,empleado,NOM,,,15,24
,RÉNYUÁN,personal,NOM,,,15,25
,QIĀN,mil,NUM,,,15,26
,SHǓ,contar,VER,,,15,27
,WÁNGFǓJǏNG,zona comercial de Beijing,NP,,,15,28
,XĪĀN,capital de la provincia de Shaanxi,NP,,,15,29
,HǍOJIǓBÚJIÀN,¡cuánto tiempo sin verte!,FH,,,15,30
,HǍOJIǓ,hace mucho tiempo,ADV,,,15,31
,JIÀN,ver,VER,,,15,32
,FĀZHǍN,desarrollar,VER,,,15,33
,KUÀI,rápido,ADJ,,,15,34
,HUÀ,"dialecto, idioma",NOM,,,15,35
,PǓTŌNGHUÀ,lengua común (mandarín),NOM,,,15,36
,NIÁNQĪNG,joven,ADJ,,,15,37
,QĪNG,"ligero, pequeño",ADJ,,,15,38
,LIÚLÌ,fluido,ADJ,,,15,39
,DǑNG,entender,VER,,,15,40
,JIÙ,"con exactitud, exactamente / ahora mismo",ADV,,,15,41
