HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION,NUM
你,NǏ,tú,PRO,,,1,1
好,HǍO,"bien, bueno",ADJ,,,1,2
吗,MA,partícula interrogativa para preguntas que esperan la respuesta sí/no,PI,,,1,3
我,WǑ,"yo, mi, me",PRO,,,1,4
很,HĚN,muy,ADV,,,1,5
呢,NE,partícula modal para preguntas elípticas,PT,,,1,6
也,YĚ,"también, además",ADV,,,1,7
忙,MÁNG,ocupado,ADJ,,,2,1
爸爸,BÀBA,padre,NOM,,,2,2
妈妈,MĀMA,madre,NOM,,,2,3
他,TĀ,"él, a él",PRO,,,2,4
们,MEN,"usado tras los pronombres 我, 你, 他 o ciertos nombres para denotar plural",PRO,,,2,5
都,DŌU,"ambos, todos",ADV,,,2,6
不,BÙ,no,ADV,,,2,7
男,NÁN,masculino,ADJ,,,2,8
朋友,PÉNGYOU,amigo,NOM,,,2,9
哥哥,GĒGE,hermano mayor,NOM,,,2,10
要,YÀO,querer,VER,,,2,11
咖啡,KĀFĒI,café,NOM,,,2,12
弟弟,DÌDI,hermano menor,NOM,,,2,13
喝,HĒ,beber,VER,,,2,14
她,TĀ,"ella, su",PRO,,,3,1
是,SHÌ,"ser, estar",VER,,,3,2
哪,NǍ,"cuál, de qué",PI,,,3,3
国,GUÓ,"país, nación",NOM,,,3,4
人,RÉN,"persona, gente",NOM,,,3,5
那,NÀ,"ese/esa, aquel/aquella",PRO,,,3,6
谁,SHÉI,quién,PI,,,3,7
老师,LǍOSHĪ,profesor/a,NOM,,,3,8
中国,ZHŌNGGUÓ,China,NP,,,3,9
您,NÍN,usted,PRO,,,3,10
这,ZHÈ,"éste, ésta, esto",PRO,,,3,11
外语,WÀIYǓ,lengua extranjera,NOM,,,3,12
医生,YĪSHĒNG,médico,NOM,,,3,13
奶奶,NǍINAI,abuela paterna,NOM,,,3,14
外婆,WÀIPÓ,abuela materna,NOM,,,3,15
认识,RÈNSHI,conocer (a alguien),VER,,,4,1
高兴,GĀOXÌNG,"contento, encantado, feliz",ADJ,,,4,2
高,GĀO,alto,ADJ,,,4,3
可以,KĚYǏ,poder,VAUX,,,4,4
进来,JÌNLÁI,"entrar, venir",V+C,,,4,5
请问,QǏNGWÈN,¿Podría preguntarle...?,VER,,,4,6
请,QǏNG,"por favor, solicitar, pedir",VER,,,4,7
问,WÈN,preguntar,VER,,,4,8
记者,JÌZHĚ,periodista,NOM,,,4,9
贵姓,GUÌXÌNG,¿Cómo se llama? (se apellida),FH,,,4,10
姓,XÌNG,apellido,NOM,apellidar,VER,4,11
叫,JIÀO,llamar(se),VER,,,4,12
先生,XIĀNSHENG,señor,NOM,,,4,13
语言,YǓYÁN,"lengua, idioma",NOM,,,4,14
学院,XUÉYUÀN,"instituto, universidad, escuela",NOM,,,4,15
学,XUÉ,estudio,NOM,"estudiar, aprender",VER,4,16
的,DE,"partícula que indica la posesión, o que está entre un sustantivo y su modificador",PT,,,4,17
学生,XUÉSHENG,estudiante,NOM,,,4,18
什么,SHÉNME,qué,PI,,,4,19
学习,XUÉXÍ,"estudiar, aprender",VER,,,4,20
汉语,HÀNYǓ,chino (idioma),NOM,,,4,21
英国,YĪNGGUÓ,"Inglaterra, Gran Bretaña",NP,,,4,22
加拿大,JIĀNÁDÀ,Canadá,NP,,,4,23
西班牙,XĪBĀNYÁ,España,NP,,,4,24
美国,MĚIGUÓ,Estados Unidos,NP,,,4,25
法国,FǍGUÓ,Francia,NP,,,4,26
德国,DÉGUÓ,Alemania,NP,,,4,27
日本,RÌBĚN,Japón,NP,,,4,28
乌拉圭,WŪLĀGUĪ,Uruguay,NP,,,4,29
餐厅,CĀNTĪNG,"comedor, restaurante",NOM,,,5,1
在,ZÀI,estar,VER,en,PRE,5,2
哪儿,NǍR,dónde,PI,,,5,3
宿舍,SÙSHÈ,dormitorio,NOM,,,5,4
女,NǙ,mujer,NOM,femenino,ADJ,5,5
坐,ZUÒ,sentarse,VER,,,5,6
谢谢,XIÈXIÈ,dar las gracias,VER,,,5,7
对不起,DUÌBUQǏ,"lo siento, disculpe, perdone",FH,,,5,8
知道,ZHĪDÀO,saber,VER,,,5,9
没关系,MÉIGUĀNXI,"no importa, no hay problema",FH,,,5,10
再见,ZÀIJIÀN,¡hasta luego!,FH,,,5,11
再,ZÀI,otra vez,ADV,,,5,12
小姐,XIǍOJIĚ,"señorita, chica joven",NOM,,,5,13
二,ÈR,dos,NUM,,,5,14
层,CÉNG,"piso, planta",CLA,,,5,15
零,LÍNG,cero,NUM,,,5,16
四,SÌ,cuatro,NUM,,,5,17
号,HÀO,"número, fecha",NOM,,,5,18
不用,BÚYÒNG,no necesitar,ADV,,,5,19
这儿,ZHÈR,aquí,PRO,,,5,20
晚,WǍN,tarde,ADJ,,,5,21
了,LE,partícula de aspecto,PT,,,5,22
去,QÙ,ir,VER,,,6,1
游泳,YÓUYǑNG,nadar,V+O,,,6,2
昨天,ZUÓTIĀN,ayer,NOM,,,6,3
京剧,JĪNGJÙ,Ópera de Beijing,NOM,,,6,4
怎么样,ZĚNMEYÀNG,¿Qué tal? / ¿Cómo?,PI,,,6,5
有意思,YǑUYÌSI,interesante,FH,,,6,6
今天,JĪNTIĀN,hoy,NOM,,,6,7
天,TIĀN,día / cielo,NOM,,,6,8
天气,TIĀNQÌ,tiempo (atmosférico),NOM,,,6,9
太,TÀI,demasiado,ADV,,,6,10
时候,SHÍHOU,tiempo (momento),NOM,,,6,11
现在,XIÀNZÀI,ahora,NOM,,,6,12
明天,MÍNGTIĀN,mañana,NOM,,,6,13
有,YǑU,tener,VER,,,6,14
事件,SHÍJIĀN,tiempo,NOM,,,6,15
说,SHUŌ,"hablar, decir",VER,,,6,16
一,YĪ,uno,NUM,,,6,17
遍,BIÀN,número de veces (de una acción),CLA,,,6,18
打球,DǍQIÚ,jugar a la pelota,V+O,,,6,19
打,DǍ,jugar,VER,,,6,20
球,QIÚ,pelota,NOM,,,6,21
抱歉,BÀOQIÀN,"arrepentido, apenado",ADJ,,,6,22
恐怕,KǑNGPÀ,"quizás, tal vez",ADV,,,6,23
行,XÍNG,estar bien,VER,,,6,24
开学,KĀIXUÉ,empezar las clases,V+O,,,7,1
开,KĀI,"empezar, abrir",VER,abierto,ADJ,7,2
看,KÀN,"mirar, ver",VER,,,7,3
一下,YÍXIÀ,"(se utiliza después de un verbo para indicar una acción rápida, breve, aleatoria, informal)",OTR,,,7,4
名片,MÍNGPIÀN,tarjeta de visita,NOM,,,7,5
啊,À,"ah, oh",INT,,,7,6
教授,JIÀOSHÒU,profesor universitario,NOM,,,7,7
介绍,JIÈSHÀO,presentar,VER,introducción,NOM,7,8
名字,MÍNGZI,nombre,NOM,,,7,9
中文,ZHŌNGWÉN,chino (idioma),NOM,,,7,10
专业,ZHUĀNYÈ,"carrera, especialidad",NOM,,,7,11
美术,MĚISHÙ,bellas artes,NOM,,,7,12
美,MĚI,"bello, hermoso, guapo",ADJ,,,7,13
文学,WÉNXUÉ,literatura,NOM,,,7,14
系,XÌ,"facultad, instituto, departamento",NOM,,,7,15
家,JIĀ,"familia, hogar",NOM,,,8,1
几,JǏ,cuántos,PI,,,8,2
照片,ZHÀOPIÀN,fotografía,NOM,,,8,3
和,HÉ,y,CON,,,8,4
个,GÈ,clasificador de uso general,CLA,,,8,5
姐姐,JIĚJIE,hermana mayor,NOM,,,8,6
两,LIǍNG,dos,NUM,,,8,7
一共,YÍGÒNG,en total,ADV,,,8,8
还,HÁI,además / todavía,ADV,,,8,9
